graph,backend,formulation,schedule,num_samples,best_obj,greedy_desc,greedy_asc,greedy_random,threshold_sweep,top_k,randomized_rounding,local_search_1swap,local_search_2swap,cluster,best_method,best_size,known_omega,match
C125.9,cloud,bomze,2,100,0.485217,34,34,34,34,34,34,34,34,34,greedy_desc,34,34,True
C125.9,cloud,bomze,3,100,0.485245,34,34,34,34,34,34,34,34,33,greedy_desc,34,34,True
C125.9,cloud,bomze,4,100,0.485282,34,34,34,34,34,34,34,34,34,greedy_desc,34,34,True
C125.9,cloud,standard,2,100,0.485279,34,34,34,34,34,34,34,34,34,greedy_desc,34,34,True
C125.9,cloud,standard,3,100,0.485278,34,34,34,34,34,34,34,34,34,greedy_desc,34,34,True
C125.9,cloud,standard,4,100,0.485285,34,34,34,34,34,34,34,34,34,greedy_desc,34,34,True
C125.9,direct,bomze,2,100,0.485219,34,34,34,34,34,34,34,34,34,greedy_desc,34,34,True
C125.9,direct,bomze,3,100,0.485254,34,34,34,34,34,34,34,34,33,greedy_desc,34,34,True
C125.9,direct,bomze,4,100,0.485252,34,34,34,34,34,34,34,34,33,greedy_desc,34,34,True
C125.9,direct,standard,2,100,0.485262,34,34,34,34,34,34,34,34,34,greedy_desc,34,34,True
C125.9,direct,standard,3,100,0.485269,34,34,34,34,34,34,34,34,34,greedy_desc,34,34,True
C125.9,direct,standard,4,100,0.485271,34,34,34,34,34,34,34,34,34,greedy_desc,34,34,True
C250.9,cloud,bomze,2,100,0.486658,40,41,41,40,40,36,42,43,38,local_search_2swap,43,44,False
C250.9,cloud,bomze,3,100,0.487036,41,40,41,41,41,38,41,41,38,greedy_desc,41,44,False
C250.9,cloud,bomze,4,100,0.487239,40,40,40,40,40,39,40,40,37,greedy_desc,40,44,False
C250.9,cloud,standard,2,100,0.487914,42,40,42,42,42,40,43,43,39,local_search_1swap,43,44,False
C250.9,cloud,standard,3,100,0.487525,41,40,41,41,41,40,41,41,38,greedy_desc,41,44,False
C250.9,cloud,standard,4,100,0.488035,42,41,42,42,42,41,42,42,41,greedy_desc,42,44,False
C250.9,direct,bomze,2,100,0.487299,41,40,41,41,41,39,41,43,39,local_search_2swap,43,44,False
C250.9,direct,bomze,3,100,0.487994,42,42,42,42,42,41,42,42,38,greedy_desc,42,44,False
C250.9,direct,bomze,4,100,0.48775,41,41,41,41,41,41,41,41,38,greedy_desc,41,44,False
C250.9,direct,standard,2,100,0.487453,40,40,42,40,40,40,42,42,39,greedy_random,42,44,False
C250.9,direct,standard,3,100,0.487781,41,41,41,41,41,41,41,41,39,greedy_desc,41,44,False
C250.9,direct,standard,4,100,0.488071,42,42,42,42,42,42,42,42,39,greedy_desc,42,44,False
